train_error,val_error
3.918956863267651,3.1686305725663413
3.0507700977301004,3.076570426648833
3.008155307074011,3.245328819924355
2.9890744155581053,3.2042172230247266
2.9772558252387205,3.1015023696626565
2.962664446069586,2.991092311964584
2.9379508618703323,2.9520075387105233
2.9458564107695753,3.061260142625555
2.9272795920181056,2.9610643494594733
2.929859390073943,2.930484831359314
2.912125605119175,2.9241726411021873
2.895103147684227,3.126942079388401
2.8946697514461275,2.936852467797628
2.879771215036377,3.0246678026374267
2.877361527699444,3.020741672043009
2.863542434828745,2.8862555579377562
2.8553432809911987,2.944272892785837
2.849958516187345,2.918827994866769
2.8227398634436374,2.9512019132301983
2.8095095396957372,2.82939761822137
